Century,r_global_avg,arrival_eval_rate,arrival_flight_rate,meet_ttot_rate,sum_depflight,collisions_avg,wait_num_avg,fstep_avg,r_avg_0,r_avg_1,r_avg_2,r_avg_3,r_avg_4,r_avg_5,r_global_eval,r_eval_0,r_eval_1,r_eval_2,r_eval_3,r_eval_4,r_eval_5,r_eval_local,duration (s), dist_action
13200,-258.34,0.80,0.95,0.72,29,3.20,0.00,103.00,-37.11,-58.38,-42.22,-66.52,-28.07,-26.04,-117.81,28.70,12.67,-135.41,5.97,-52.87,23.13,-117.81,1425,[0.06519397 0.18238147 0.26751078 0.36988147 0.11503233]
13300,-336.36,0.70,0.92,0.78,27,1.80,0.00,125.90,-49.80,-107.77,-59.16,-69.28,-35.30,-15.06,-232.88,23.42,-47.19,-105.43,17.16,-24.41,-96.43,-232.88,1498,[0.08047459 0.18055197 0.26670106 0.33866392 0.13360846]
13400,-366.71,0.80,0.95,0.60,30,1.20,0.00,104.00,-56.04,-80.70,-56.97,-85.60,-38.56,-48.84,-114.37,28.45,16.58,-96.32,-50.05,19.62,-32.65,-114.37,1416,[0.07227979 0.17409326 0.2857513  0.31735751 0.15051813]
13500,-340.18,0.90,0.98,0.66,32,0.80,0.00,84.60,-68.04,-100.75,-54.20,-53.41,-28.57,-35.21,90.05,32.77,14.71,19.40,-37.71,34.53,26.35,90.05,1452,[0.0671056  0.17726007 0.29982274 0.33628767 0.11952393]
13600,-404.63,0.90,0.97,0.62,29,6.40,0.00,101.50,-71.54,-70.34,-76.27,-93.55,-63.15,-29.78,-32.66,17.85,7.44,-52.42,13.26,-23.36,4.57,-32.66,1544,[0.06407263 0.19143969 0.25992218 0.35434501 0.13022049]
13700,-367.52,0.80,0.92,0.77,30,16.40,0.00,124.70,-35.68,-116.03,-82.45,-42.14,-36.44,-54.78,-252.06,-139.11,-41.97,20.44,25.33,-139.36,22.61,-252.06,1435,[0.06985478 0.17025538 0.28517777 0.35027541 0.12443665]
13800,-325.28,0.80,0.95,0.77,30,1.60,0.00,105.10,-44.69,-93.99,-35.72,-66.89,-58.18,-25.80,-95.37,30.06,-56.96,-141.99,14.87,39.65,19.00,-95.37,1302,[0.06673701 0.17831707 0.27987338 0.35267739 0.12239515]
13900,-337.36,1.00,1.00,0.73,30,0.00,0.00,76.20,-60.12,-60.81,-62.68,-57.15,-51.13,-45.47,148.88,32.38,16.30,16.90,15.60,40.80,26.90,148.88,1451,[0.07011605 0.20430368 0.23452611 0.39023211 0.10082205]
14000,-302.19,0.90,0.98,0.90,31,0.20,0.00,85.90,-70.08,-74.88,-57.13,-55.26,-25.20,-19.63,99.74,39.12,-41.68,18.47,15.43,44.12,24.28,99.74,1454,[0.06863487 0.18697956 0.26974514 0.33484734 0.13979309]
14100,-275.38,0.80,0.95,0.81,26,5.20,0.00,104.70,-70.83,-49.48,-49.28,-45.77,-17.27,-42.74,-97.00,30.12,9.68,-141.02,9.99,28.85,-34.62,-97.00,1302,[0.07224229 0.17977216 0.28785774 0.33287024 0.12725757]
