Century,r_global_avg,arrival_eval_rate,arrival_flight_rate,meet_ttot_rate,sum_depflight,collisions_avg,wait_num_avg,fstep_avg,r_avg_0,r_avg_1,r_avg_2,r_avg_3,r_avg_4,r_avg_5,r_global_eval,r_eval_0,r_eval_1,r_eval_2,r_eval_3,r_eval_4,r_eval_5,r_eval_local,duration (s), dist_action
27300,-336.01,0.90,0.97,0.53,30,17.60,0.00,108.90,-68.49,-33.84,-78.46,-29.01,-44.47,-81.74,-127.55,27.80,-13.38,-62.02,-95.68,8.90,6.83,-127.55,1373,[0.06943396 0.35949686 0.10918239 0.19798742 0.26389937]
27400,-429.57,0.80,0.88,0.57,28,19.90,0.00,155.70,-66.75,-47.00,-83.71,-69.98,-60.49,-101.64,-683.21,-300.44,-37.38,11.97,-71.63,-164.94,-120.79,-683.21,1605,[0.06717276 0.35679779 0.12307338 0.20588912 0.24706694]
27500,-448.63,0.90,0.97,0.72,32,13.00,0.00,105.20,-69.47,-85.31,-76.48,-59.11,-74.62,-83.64,-123.16,22.35,-86.10,-81.74,5.18,13.43,3.72,-123.16,1620,[0.06844548 0.33758701 0.12830626 0.20904872 0.25661253]
27600,-388.27,1.00,1.00,0.83,30,6.00,0.00,89.00,-77.60,-38.93,-88.36,-59.36,-43.62,-80.40,120.20,30.60,31.80,24.30,15.90,8.90,8.70,120.20,1519,[0.06290361 0.35039464 0.11719684 0.19875628 0.27074862]
27700,-381.75,1.00,1.00,0.77,31,8.00,0.00,89.60,-50.12,-39.04,-100.23,-86.33,-39.98,-66.04,106.67,28.33,26.46,19.38,14.94,11.14,6.42,106.67,1461,[0.0682421  0.35760791 0.11140584 0.1977333  0.26501085]
27800,-381.64,0.80,0.93,0.71,28,11.40,0.00,122.70,-54.88,-45.99,-85.22,-55.97,-60.63,-78.94,-321.63,-165.37,13.30,0.99,14.58,-85.59,-99.54,-321.63,1409,[0.0737203  0.34484448 0.12098947 0.19666912 0.26377663]
27900,-342.80,1.00,1.00,0.70,30,6.00,0.00,89.00,-60.72,-44.24,-77.40,-28.79,-59.97,-71.68,107.68,30.60,28.80,14.78,15.40,8.90,9.20,107.68,1418,[0.06084322 0.33754102 0.12648321 0.18858874 0.2865438 ]
28000,-495.58,0.80,0.95,0.67,30,5.20,0.00,126.30,-96.80,-52.40,-128.96,-74.79,-62.35,-80.26,-284.95,-10.76,-23.27,21.68,-56.00,-223.87,7.27,-284.95,1561,[0.07126748 0.33603969 0.13193505 0.2142535  0.24650429]
28100,-337.74,0.90,0.95,0.76,33,13.40,0.00,117.00,-62.64,-28.71,-82.51,-53.96,-39.49,-70.43,-180.30,-79.81,-98.25,32.36,6.44,5.22,-46.26,-180.30,2465,[0.06845466 0.34303959 0.1256705  0.1954023  0.26743295]
28200,-405.22,1.00,1.00,0.73,30,5.80,0.00,91.60,-52.60,-76.09,-83.74,-56.28,-50.36,-86.14,96.40,28.43,21.62,23.97,19.02,9.76,-6.40,96.40,2529,[0.06344266 0.35719416 0.11563323 0.20732583 0.25640412]
28300,-349.65,0.80,0.92,0.75,28,14.20,0.00,130.30,-52.40,-34.78,-70.02,-53.51,-55.07,-83.87,-303.20,23.70,-166.48,-47.55,-74.94,13.09,-51.02,-303.20,2900,[0.06802891 0.37004735 0.10441067 0.20109644 0.25641665]
28400,-361.93,0.80,0.95,0.68,28,9.00,0.00,117.90,-65.37,-22.09,-94.14,-61.03,-38.87,-80.43,-130.84,-33.55,24.82,-61.64,-4.72,12.56,-68.31,-130.84,1728,[0.07815534 0.34101942 0.12305825 0.19635922 0.26140777]
28500,-357.11,0.90,0.95,0.68,31,6.20,0.00,123.50,-72.63,-36.67,-87.29,-51.68,-40.41,-68.43,-217.94,22.84,-41.23,-35.36,-86.92,-85.97,8.70,-217.94,1478,[0.06624234 0.32508251 0.14380009 0.19684111 0.26803395]
28600,-612.11,0.60,0.92,0.70,33,6.20,0.00,135.40,-140.44,-70.40,-114.75,-85.81,-83.41,-117.31,-425.14,21.98,-63.25,-40.03,-51.00,-149.92,-142.92,-425.14,1786,[0.06637984 0.31591887 0.15017414 0.21614423 0.25138291]
28700,-404.38,0.70,0.90,0.61,28,17.10,0.00,141.40,-58.26,-47.19,-96.19,-72.29,-47.24,-83.21,-404.00,16.28,-186.63,-50.33,-47.73,-70.15,-65.44,-404.00,2133,[0.06805655 0.35178529 0.11790079 0.21639109 0.24586628]
28800,-365.94,0.90,0.98,0.81,31,5.80,0.00,98.70,-55.68,-46.97,-84.22,-41.54,-44.33,-93.19,-59.40,-130.94,-0.32,30.35,17.78,12.68,11.05,-59.40,1522,[0.06180176 0.36391728 0.10648918 0.21963394 0.24815783]
28900,-470.02,0.90,0.98,0.75,32,7.20,0.00,97.70,-77.13,-64.53,-70.62,-82.61,-66.11,-109.03,44.20,35.17,26.85,-40.98,13.76,3.74,5.66,44.20,1619,[0.0624715  0.33629731 0.12699498 0.20839033 0.26584587]
29000,-328.71,0.60,0.83,0.62,32,8.40,0.00,192.90,-33.97,-43.05,-74.49,-65.05,-48.64,-63.51,-862.53,-249.94,-139.80,-69.89,13.57,-264.20,-152.27,-862.53,2864,[0.07315843 0.36528759 0.11377397 0.20005045 0.24772957]
29100,-339.95,0.80,0.95,0.73,33,10.40,0.00,123.70,-55.39,-34.01,-92.79,-35.79,-36.72,-85.26,-184.79,25.08,-152.30,-45.07,17.81,-34.53,4.22,-184.79,2975,[0.06004902 0.35294118 0.10931373 0.21470588 0.2629902 ]
29200,-364.18,0.90,0.95,0.69,29,14.60,0.00,119.20,-66.53,-41.11,-95.02,-42.27,-60.19,-59.07,-261.40,26.21,-29.35,15.22,-82.55,-112.71,-78.22,-261.40,2558,[0.05967977 0.34667637 0.12663755 0.2127608  0.25424551]
29300,-328.00,0.90,0.98,0.68,28,16.60,0.00,101.40,-61.16,-24.63,-77.50,-55.67,-48.47,-60.58,-15.05,26.61,1.45,20.39,-44.04,-9.38,-10.08,-15.05,2285,[0.06456693 0.35328084 0.11653543 0.19527559 0.27034121]
